group	row	startCol	endCol	startRef	sourceRange	rawTitle
401	13	3	18	C13	C13:R13	"Факультетская терапия,\r\nпрофессиональные  болезни"
401	13	19	26	S13	S13:Z13	"Менеджмент в \r\nздравоохранении"
401	13	27	34	AA13	AA13:AH13	"Педиатрия"
401	13	35	39	AI13	AI13:AM13	"Урология"
401	13	40	43	AN13	AN13:AQ13	"Факультет.\r\nхирургия"
401	13	44	48	AR13	AR13:AV13	"Офтальмология"
401	13	49	61	AW13	AW13:BI13	"Оториноларингология"
401	13	62	73	BJ13	BJ13:BU13	"Акушерство и гинекология"
401	13	74	74	BV13	BV13	"М"
401	13	75	77	BW13	BW13:BY13	"**"
401	13	78	87	BZ13	BZ13:CI13	"Неврология, нейрохирургия "
401	13	88	93	CJ13	CJ13:CO13	"Психиатрия, МП"
401	13	95	106	CQ13	CQ13:DB32	"Экзамены"
402	14	3	18	C14	C14:R14	"Факультетская терапия,\r\nпрофессиональные  болезни"
402	14	19	26	S14	S14:Z14	"Менеджмент в \r\nздравоохранении"
402	14	27	34	AA14	AA14:AH14	"Педиатрия"
402	14	35	39	AI14	AI14:AM14	"Урология"
402	14	40	43	AN14	AN14:AQ14	"Факультет.\r\nхирургия"
402	14	44	48	AR14	AR14:AV14	"Офтальмология"
402	14	49	61	AW14	AW14:BI14	"Оториноларингология"
402	14	62	73	BJ14	BJ14:BU14	"Акушерство и гинекология"
402	14	74	74	BV14	BV14	"М"
402	14	78	87	BZ14	BZ14:CI14	"Неврология, нейрохирургия "
402	14	88	93	CJ14	CJ14:CO14	"Психиатрия, МП"
403	15	3	18	C15	C15:R15	"Факультетская терапия,\r\nпрофессиональные  болезни"
403	15	19	26	S15	S15:Z15	"Педиатрия"
403	15	27	34	AA15	AA15:AH15	"Менеджмент в \r\nздравоохранении"
403	15	35	39	AI15	AI15:AM15	"Офтальмология"
403	15	40	44	AN15	AN15:AR15	"Урология"
403	15	45	48	AS15	AS15:AV15	"Факультет.\r\nхирургия"
403	15	49	60	AW15	AW15:BH15	"Акушерство и гинекология"
403	15	61	61	BI15	BI15	"М"
403	15	62	74	BJ15	BJ15:BV15	"Оториноларингология"
403	15	78	83	BZ15	BZ15:CE15	"Психиатрия, МП"
403	15	84	93	CF15	CF15:CO15	"Неврология, нейрохирургия "
404	16	3	18	C16	C16:R16	"Факультетская терапия,\r\nпрофессиональные  болезни"
404	16	19	26	S16	S16:Z16	"Педиатрия"
404	16	27	34	AA16	AA16:AH16	"Менеджмент в *\r\nздравоохранении"
404	16	35	39	AI16	AI16:AM16	"Офтальмология"
404	16	40	44	AN16	AN16:AR16	"Урология"
404	16	45	48	AS16	AS16:AV16	"Факультет.\r\nхирургия"
404	16	49	60	AW16	AW16:BH16	"Акушерство и гинекология"
404	16	61	61	BI16	BI16	"М"
404	16	62	74	BJ16	BJ16:BV16	"Оториноларингология"
404	16	78	83	BZ16	BZ16:CE16	"Психиатрия, МП"
404	16	84	93	CF16	CF16:CO16	"Неврология, нейрохирургия *"
405	17	3	12	C17	C17:L17	"Неврология, нейрохирургия "
405	17	13	18	M17	M17:R17	"Психиатрия, МП"
405	17	19	34	S17	S17:AH17	"Факультетская терапия,\r\nпрофессиональные  болезни"
405	17	35	42	AI17	AI17:AP17	"Менеджмент в \r\nздравоохранении"
405	17	43	50	AQ17	AQ17:AX17	"Педиатрия"
405	17	51	55	AY17	AY17:BC17	"Урология"
405	17	56	59	BD17	BD17:BG17	"Факультет.\r\nхирургия"
405	17	60	64	BH17	BH17:BL17	"Офтальмология"
405	17	65	76	BM17	BM17:BX17	"Оториноларингология"
405	17	79	90	CA17	CA17:CL17	"Акушерство и гинекология"
405	17	91	91	CM17	CM17	"М"
406	18	3	12	C18	C18:L18	"Неврология, нейрохирургия *"
406	18	13	18	M18	M18:R18	"Психиатрия, МП"
406	18	19	34	S18	S18:AH18	"Факультетская терапия,\r\nпрофессиональные  болезни"
406	18	35	42	AI18	AI18:AP18	"Менеджмент в \r\nздравоохранении"
406	18	43	50	AQ18	AQ18:AX18	"Педиатрия"
406	18	51	55	AY18	AY18:BC18	"Урология"
406	18	56	59	BD18	BD18:BG18	"Факультет.\r\nхирургия"
406	18	60	64	BH18	BH18:BL18	"Офтальмология"
406	18	65	76	BM18	BM18:BX18	"Оториноларингология"
406	18	79	90	CA18	CA18:CL18	"Акушерство и гинекология"
406	18	91	91	CM18	CM18	"М"
407	19	3	8	C19	C19:H19	"Психиатрия, МП"
407	19	9	18	I19	I19:R19	"Неврология, нейрохирургия "
407	19	19	34	S19	S19:AH19	"Факультетская терапия,\r\nпрофессиональные  болезни"
407	19	35	42	AI19	AI19:AP19	"Педиатрия"
407	19	43	50	AQ19	AQ19:AX19	"Менеджмент в \r\nздравоохранении"
407	19	51	55	AY19	AY19:BC19	"Офтальмология"
407	19	56	60	BD19	BD19:BH19	"Урология"
407	19	61	64	BI19	BI19:BL19	"Факультет.\r\nхирургия"
407	19	65	76	BM19	BM19:BX19	"Акушерство и гинекология"
407	19	78	78	BZ19	BZ19	"М"
407	19	79	91	CA19	CA19:CM19	"Оториноларингология"
408	20	3	8	C20	C20:H20	"Психиатрия, МП"
